team1,team2,date,winner,winner_wickets,winner_runs
England,Pakistan,2015-10-22,Pakistan,NA,178
Australia,New Zealand,2015-11-13,NA,NA,NA
India,South Africa,2015-11-14,NA,NA,NA
India,South Africa,2015-11-25,India,NA,124
Australia,New Zealand,2015-11-27,Australia,3,NA
India,South Africa,2015-12-03,India,NA,337
England,Pakistan,2015-11-01,Pakistan,NA,127
Australia,New Zealand,2015-11-05,Australia,NA,208
India,South Africa,2015-11-05,India,NA,108
Australia,West Indies,2015-12-10,Australia,NA,212
Australia,West Indies,2015-12-26,Australia,NA,177
South Africa,England,2015-12-26,England,NA,241
South Africa,England,2016-01-02,NA,NA,NA
Australia,West Indies,2016-01-03,NA,NA,NA
South Africa,England,2016-01-14,England,7,NA
South Africa,England,2016-01-22,South Africa,NA,280
New Zealand,Australia,2016-02-12,Australia,NA,52
New Zealand,Australia,2016-02-20,Australia,7,NA
England,Sri Lanka,2016-05-19,England,NA,88
England,Sri Lanka,2016-05-27,England,9,NA
England,Sri Lanka,2016-06-09,NA,NA,NA
England,Pakistan,2016-07-14,Pakistan,NA,75
England,Pakistan,2016-07-22,England,NA,330
West Indies,India,2016-07-21,India,NA,92
Sri Lanka,Australia,2016-07-26,Sri Lanka,NA,106
Zimbabwe,New Zealand,2016-07-28,New Zealand,NA,117
West Indies,India,2016-07-30,NA,NA,NA
Sri Lanka,Australia,2016-08-04,Sri Lanka,NA,229
England,Pakistan,2016-08-03,England,NA,141
Zimbabwe,New Zealand,2016-08-06,New Zealand,NA,254
West Indies,India,2016-08-09,India,NA,237
Sri Lanka,Australia,2016-08-13,Sri Lanka,NA,163
England,Pakistan,2016-08-11,Pakistan,10,NA
South Africa,New Zealand,2016-08-19,NA,NA,NA
West Indies,India,2016-08-18,NA,NA,NA
South Africa,New Zealand,2016-08-27,South Africa,NA,204
India,New Zealand,2016-09-22,India,NA,197
India,New Zealand,2016-09-30,India,NA,178
Pakistan,West Indies,2016-10-13,Pakistan,NA,56
Bangladesh,England,2016-10-20,England,NA,22
Pakistan,West Indies,2016-10-21,Pakistan,NA,133
Zimbabwe,Sri Lanka,2016-10-29,Sri Lanka,NA,225
Bangladesh,England,2016-10-28,Bangladesh,NA,108
Pakistan,West Indies,2016-10-30,West Indies,5,NA
Australia,South Africa,2016-11-03,South Africa,NA,177
Zimbabwe,Sri Lanka,2016-11-06,Sri Lanka,NA,257
India,England,2016-11-09,NA,NA,NA
Australia,South Africa,2016-11-12,South Africa,NA,80
India,England,2016-11-17,India,NA,246
New Zealand,Pakistan,2016-11-17,New Zealand,8,NA
Australia,South Africa,2016-11-24,Australia,7,NA
New Zealand,Pakistan,2016-11-25,New Zealand,NA,138
India,England,2016-11-26,India,8,NA
India,England,2016-12-08,India,NA,36
Australia,Pakistan,2016-12-15,Australia,NA,39
India,England,2016-12-16,India,NA,75
South Africa,Sri Lanka,2016-12-26,South Africa,NA,206
Australia,Pakistan,2016-12-26,Australia,NA,18
India,New Zealand,2016-10-08,India,NA,321
South Africa,Sri Lanka,2017-01-02,South Africa,NA,282
Australia,Pakistan,2017-01-03,Australia,NA,220
New Zealand,Bangladesh,2017-01-12,New Zealand,7,NA
South Africa,Sri Lanka,2017-01-12,South Africa,NA,118
New Zealand,Bangladesh,2017-01-20,New Zealand,9,NA
India,Bangladesh,2017-02-09,India,NA,208
India,Australia,2017-02-23,Australia,NA,333
India,Australia,2017-03-04,India,NA,75
Sri Lanka,Bangladesh,2017-03-07,Sri Lanka,NA,259
New Zealand,South Africa,2017-03-08,NA,NA,NA
Sri Lanka,Bangladesh,2017-03-15,Bangladesh,4,NA
New Zealand,South Africa,2017-03-16,South Africa,8,NA
India,Australia,2017-03-16,NA,NA,NA
New Zealand,South Africa,2017-03-25,NA,NA,NA
India,Australia,2017-03-25,India,8,NA
West Indies,Pakistan,2017-04-21,Pakistan,7,NA
West Indies,Pakistan,2017-04-30,West Indies,NA,106
England,South Africa,2017-07-06,England,NA,211
Ireland,Pakistan,2018-05-11,Pakistan,5,NA
England,Ireland,2019-07-24,England,NA,143
England,Australia,2019-08-01,Australia,NA,251
Sri Lanka,New Zealand,2019-08-22,New Zealand,NA,65
West Indies,India,2019-08-22,India,NA,318
England,Australia,2019-08-22,England,1,NA
West Indies,India,2019-08-30,India,NA,257
England,Australia,2019-09-04,Australia,NA,185
England,Australia,2019-09-12,England,NA,135
India,South Africa,2019-10-02,India,NA,203
India,South Africa,2019-10-10,India,NA,137
India,South Africa,2019-10-19,India,NA,202
India,Bangladesh,2019-11-14,India,NA,130
Australia,Pakistan,2019-11-21,Australia,NA,5
India,Bangladesh,2019-11-22,India,NA,46
New Zealand,England,2019-11-21,New Zealand,NA,65
Australia,Pakistan,2019-11-29,Australia,NA,48
New Zealand,England,2019-11-29,NA,NA,NA
Australia,New Zealand,2019-12-12,Australia,NA,296
Pakistan,Sri Lanka,2019-12-11,NA,NA,NA
Pakistan,Sri Lanka,2019-12-19,Pakistan,NA,263
Australia,New Zealand,2019-12-26,Australia,NA,247
South Africa,England,2019-12-26,South Africa,NA,107
New Zealand,Bangladesh,2019-03-08,New Zealand,NA,12
New Zealand,Bangladesh,2019-02-28,New Zealand,NA,52
South Africa,England,2020-01-03,England,NA,189
Australia,New Zealand,2020-01-03,Australia,NA,279
South Africa,England,2020-01-16,England,NA,53
Zimbabwe,Sri Lanka,2020-01-19,Sri Lanka,10,NA
Zimbabwe,Sri Lanka,2020-01-27,NA,NA,NA
Pakistan,Bangladesh,2020-02-07,Pakistan,NA,44
New Zealand,India,2020-02-21,New Zealand,10,NA
Bangladesh,Zimbabwe,2020-02-22,Bangladesh,NA,106
New Zealand,India,2020-02-29,New Zealand,7,NA
South Africa,Pakistan,2018-12-26,South Africa,6,NA
South Africa,Pakistan,2019-01-03,South Africa,9,NA
South Africa,Pakistan,2019-01-11,South Africa,NA,107
South Africa,Sri Lanka,2019-02-13,Sri Lanka,1,NA
South Africa,Sri Lanka,2019-02-21,Sri Lanka,8,NA
Australia,India,2018-12-26,India,NA,137
Australia,India,2019-01-03,NA,NA,NA
Australia,Sri Lanka,2019-02-01,Australia,NA,366
New Zealand,Sri Lanka,2018-12-26,New Zealand,NA,423
West Indies,England,2019-01-23,West Indies,NA,381
West Indies,England,2019-01-31,West Indies,10,NA
West Indies,England,2019-02-09,England,NA,232
Australia,England,2017-12-26,NA,NA,NA
England,Australia,2018-01-04,Australia,NA,123
Australia,South Africa,2018-03-01,Australia,NA,118
South Africa,Australia,2018-03-22,South Africa,NA,322
South Africa,Australia,2018-03-30,South Africa,NA,492
England,New Zealand,2018-03-22,New Zealand,NA,49
England,New Zealand,2018-03-30,NA,NA,NA
England,Pakistan,2018-05-24,Pakistan,9,NA
Pakistan,England,2018-06-01,England,NA,55
England,India,2018-08-01,England,NA,31
India,England,2018-08-09,England,NA,159
India,England,2018-08-18,India,NA,203
England,India,2018-08-30,England,NA,60
England,India,2018-09-07,England,NA,118
South Africa,India,2018-01-05,South Africa,NA,72
South Africa,India,2018-01-13,South Africa,NA,135
India,South Africa,2018-01-24,India,NA,63
West Indies,Sri Lanka,2018-06-06,West Indies,NA,226
Australia,India,2018-12-14,Australia,NA,146
New Zealand,Pakistan,2018-11-16,New Zealand,NA,4
Pakistan,New Zealand,2018-11-24,Pakistan,NA,16
New Zealand,Pakistan,2018-12-03,New Zealand,NA,123
India,West Indies,2018-10-04,India,NA,272
West Indies,India,2018-10-12,India,10,NA
Australia,South Africa,2018-03-09,South Africa,6,NA
Bangladesh,Sri Lanka,2018-01-31,NA,NA,NA
Sri Lanka,Bangladesh,2018-02-08,Sri Lanka,NA,215
Sri Lanka,West Indies,2018-06-14,NA,NA,NA
West Indies,Sri Lanka,2018-06-23,Sri Lanka,4,NA
England,Sri Lanka,2018-11-06,England,NA,211
England,Sri Lanka,2018-11-14,England,NA,57
England,Sri Lanka,2018-11-23,England,NA,42
Sri Lanka,South Africa,2018-07-20,Sri Lanka,NA,199
India,Australia,2018-12-06,India,NA,31
West Indies,Bangladesh,2018-07-12,West Indies,NA,166
Bangladesh,West Indies,2018-11-22,Bangladesh,NA,64
Bangladesh,West Indies,2018-11-30,Bangladesh,NA,184
Zimbabwe,Bangladesh,2018-11-03,Zimbabwe,NA,151
Bangladesh,Zimbabwe,2018-11-11,Bangladesh,NA,218
Pakistan,Australia,2018-10-07,NA,NA,NA
England,West Indies,2020-07-08,West Indies,4,NA
England,West Indies,2020-07-16,England,NA,113
England,West Indies,2020-07-24,England,NA,269
South Africa,England,2017-07-14,South Africa,NA,340
England,South Africa,2017-08-04,England,NA,177
England,West Indies,2017-08-17,England,NA,209
Zimbabwe,Sri Lanka,2017-07-14,Sri Lanka,4,NA
India,Sri Lanka,2017-07-26,India,NA,304
England,South Africa,2017-07-27,England,NA,239
India,Sri Lanka,2017-08-03,India,NA,53
India,Sri Lanka,2017-08-12,India,NA,171
England,West Indies,2017-08-25,West Indies,5,NA
West Indies,England,2017-09-07,England,9,NA
England,Australia,2017-11-23,Australia,10,NA
Australia,England,2017-12-02,Australia,NA,120
England,Australia,2017-12-14,Australia,NA,41
South Africa,Bangladesh,2017-09-28,South Africa,NA,333
South Africa,Bangladesh,2017-10-06,South Africa,NA,254
Bangladesh,Australia,2017-08-27,Bangladesh,NA,20
Bangladesh,Australia,2017-09-04,Australia,7,NA
West Indies,New Zealand,2017-12-01,New Zealand,NA,67
New Zealand,West Indies,2017-12-09,New Zealand,NA,240
Sri Lanka,Pakistan,2017-09-28,Sri Lanka,NA,21
India,Sri Lanka,2017-11-16,NA,NA,NA
Sri Lanka,India,2017-11-24,India,NA,239
India,Sri Lanka,2017-12-02,NA,NA,NA
West Indies,Zimbabwe,2017-10-21,West Indies,NA,117
Pakistan,England,2020-08-05,England,3,NA
Pakistan,England,2020-08-13,NA,NA,NA
England,Pakistan,2020-08-21,NA,NA,NA
South Africa,India,2006-12-26,South Africa,NA,174
India,South Africa,2007-01-02,South Africa,5,NA
England,Australia,2006-12-26,Australia,NA,99
England,Australia,2007-01-02,Australia,10,NA
South Africa,Pakistan,2007-01-19,Pakistan,5,NA
Pakistan,South Africa,2007-01-26,South Africa,5,NA
England,West Indies,2007-05-17,NA,NA,NA
England,West Indies,2007-05-25,England,NA,283
England,West Indies,2007-06-07,England,NA,60
West Indies,England,2007-06-15,England,7,NA
England,India,2007-07-19,NA,NA,NA
England,India,2007-07-27,India,7,NA
India,England,2007-08-09,NA,NA,NA
India,Bangladesh,2007-05-18,NA,NA,NA
India,Bangladesh,2007-05-25,India,NA,239
Sri Lanka,England,2007-12-01,Sri Lanka,NA,88
England,Sri Lanka,2007-12-09,NA,NA,NA
Sri Lanka,England,2007-12-18,NA,NA,NA
Australia,Sri Lanka,2007-11-08,Australia,NA,40
Australia,Sri Lanka,2007-11-16,Australia,NA,96
Australia,India,2007-12-26,Australia,NA,337
Bangladesh,Sri Lanka,2007-06-25,Sri Lanka,NA,234
Bangladesh,Sri Lanka,2007-07-03,Sri Lanka,NA,90
Bangladesh,Sri Lanka,2007-07-11,Sri Lanka,NA,193
Pakistan,India,2007-11-22,India,6,NA
India,Pakistan,2007-11-30,NA,NA,NA
India,Pakistan,2007-12-08,NA,NA,NA
South Africa,New Zealand,2007-11-08,South Africa,NA,358
New Zealand,South Africa,2007-11-16,South Africa,NA,59
West Indies,South Africa,2007-12-26,West Indies,NA,128
South Africa,Pakistan,2007-10-01,South Africa,NA,160
South Africa,Pakistan,2007-10-08,NA,NA,NA
England,Pakistan,2006-07-13,NA,NA,NA
Pakistan,England,2006-07-27,England,NA,120
England,Pakistan,2006-08-17,England,NA,NA
England,Sri Lanka,2006-05-11,NA,NA,NA
Sri Lanka,England,2006-05-25,England,6,NA
Sri Lanka,England,2006-06-02,Sri Lanka,NA,134
Australia,South Africa,2005-12-26,Australia,NA,184
South Africa,Australia,2006-01-02,Australia,8,NA
Pakistan,India,2006-01-21,NA,NA,NA
Pakistan,India,2006-01-29,Pakistan,NA,341
