player,country,start,end,matches,bat_innings,bowl_innings,field_innings,not_outs,runs,high_score,high_score_not_out,average,balls_faced,strike_rate,hundreds,fifties,ducks,fours,sixes,overs,maidens,wickets,economy,best_bowling_innings,four_wickets,five_wickets,ten_wickets,dismissals,caught,caught_fielder,caught_behind,stumped,max_dismissals_innings
F Ridgway,England,1951,1952,5,6,7,8,0,428,24,FALSE,31.154761904761905,0,113.28571428571428,0,0,2,0,0,0,0,7,2.867591424968474,4/83,0,0,0,3,3,3,0,0,2
F Stoman,PORT,2019,2024,21,15,12,21,2,423,28,FALSE,18.262237762237763,185,48.206388206388205,0,0,2,5,5,40,1,11,7.125,3/16,0,0,0,7,6,5,1,1,2
F Suluoto,Samoa,2022,2024,12,11,1,12,3,189,44,TRUE,Inf,143,Inf,0,0,1,9,12,1,0,0,16,NA,0,0,0,6,6,5,1,0,1
F Thorpe,GMB,2022,2022,2,2,0,2,1,0,0,TRUE,0,1,0,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
F de Wet,South Africa,2009,2010,2,2,4,4,0,206,20,FALSE,20.5,0,71,0,0,1,0,0,0,0,6,2.619718309859155,4/55,0,0,0,1,1,1,0,0,1
F du Plessis,South Africa,2011,2021,143,179,16,269,21,6138,199,FALSE,Inf,1137,Inf,11,31,9,140,50,0,0,2,5.606971153846153,1/8,0,0,0,144,144,144,0,0,6
F du Plessis (SA/World),NA,2012,2020,50,0,2,50,0,3,NA,FALSE,Inf,0,Inf,0,0,0,0,0,1.2,0,0,2.25,NA,0,0,0,24,24,24,0,0,2
FA Allen,West Indies,2018,2024,20,45,51,57,9,2257,34,FALSE,54.89914021164021,199,97.16728982212649,0,0,5,16,21,96.5,1,31,6.5988510024654605,2/40,0,0,0,35,35,35,0,0,4
FA Cossa,MOZ,2019,2024,37,31,33,36,10,1210,68,FALSE,25.78754578754579,460,71.80183946488295,0,3,4,52,28,104.1,3,26,6.335999999999999,3/18,0,0,0,19,19,19,0,0,3
FA Dennis,Canada,1979,1979,3,0,0,3,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
FA Iredale,Australia,1894,1899,14,23,1,27,1,810,140,FALSE,Inf,0,Inf,2,4,2,0,0,0,0,0,1.5,NA,0,0,0,16,16,16,0,0,3
FA Klokker,DEN,2021,2022,13,7,0,13,5,59,29,TRUE,29.5,57,103.50877192982458,0,0,0,4,0,0,0,0,NA,NA,0,0,0,8,6,4,2,2,4
FA Lowson,England,1951,1955,7,13,0,12,0,245,68,FALSE,18.846153846153847,0,NA,0,2,2,0,0,0,0,0,NA,NA,0,0,0,5,5,5,0,0,2
FA MacKinnon,England,1879,1879,1,2,0,2,0,5,5,FALSE,2.5,0,NA,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
FA Rose,West Indies,1997,2000,27,55,58,60,2,4073,69,FALSE,27.592537911015466,0,49.02895250487963,0,1,2,0,0,0,0,82,3.938538884479232,7/84,0,3,0,10,10,10,0,0,3
FA Ward,Australia,1936,1938,4,8,5,6,2,610,18,FALSE,29.09090909090909,0,115.27272727272728,0,0,2,0,0,0,0,11,2.7160883280757098,6/102,0,1,0,1,1,1,0,0,1
FAW Freer,Australia,1946,1946,1,1,2,2,1,102,28,TRUE,Inf,0,53.333333333333336,0,0,0,0,0,0,0,3,2.775,2/49,0,0,0,0,0,0,0,0,0
FB Smith,New Zealand,1947,1952,4,6,0,7,1,237,96,FALSE,47.4,0,NA,0,2,0,0,0,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1
FC Hayes,England,1973,1976,6,17,0,20,1,244,106,TRUE,15.25,0,NA,1,0,6,0,0,0,0,0,NA,NA,0,0,0,7,7,7,0,0,2
FCM Alexander,West Indies,1957,1961,25,38,0,47,6,961,108,FALSE,30.03125,0,NA,1,7,5,0,0,0,0,0,NA,NA,0,0,0,90,85,0,85,5,5
FDM Karunaratne,Sri Lanka,2011,2024,50,185,16,227,7,7373,244,FALSE,Inf,0,Inf,16,39,12,0,0,0,0,2,5.313311688311688,1/12,0,0,0,77,77,77,0,0,5
FE Allan,Australia,1879,1879,1,1,2,2,0,85,5,FALSE,12.5,0,45,0,0,0,0,0,0,0,4,2.6666666666666665,2/30,0,0,0,0,0,0,0,0,0
FE Carava,MOZ,2021,2022,12,5,0,12,0,29,12,FALSE,5.8,63,46.03174603174603,0,0,0,1,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
FE Fisher,New Zealand,1953,1953,1,2,1,1,0,101,14,FALSE,44.75,0,204,0,0,0,0,0,0,0,1,2.2941176470588234,1/78,0,0,0,0,0,0,0,0,0
FE Rumsey,England,1964,1965,5,5,9,10,3,491,21,TRUE,21.058823529411764,0,67.3529411764706,0,0,0,0,0,0,0,17,2.415720524017467,4/25,0,0,0,0,0,0,0,0,0
FE Woolley,England,1909,1934,64,98,87,113,7,6098,154,FALSE,34.99629286376275,0,78.25301204819277,5,23,13,0,0,0,0,83,2.600461893764434,7/76,0,4,1,64,64,63,1,0,4
FF Mulivai,Samoa,2019,2019,4,4,1,4,0,76,48,FALSE,Inf,37,Inf,0,0,1,2,8,0.1,0,0,36,NA,0,0,0,0,0,0,0,0,0
FFJ Heo,INA,2024,2024,5,5,0,5,0,8,5,FALSE,1.6,21,38.095238095238095,0,0,3,0,0,0,0,0,NA,NA,0,0,0,3,3,3,0,0,2
FFZ Nhaduate,MOZ,2023,2024,8,7,0,8,1,76,39,FALSE,12.666666666666666,100,76,0,0,1,5,1,0,0,0,NA,NA,0,0,0,8,6,0,6,2,4
FG Mann,England,1948,1949,7,12,0,13,2,376,136,TRUE,37.6,0,NA,1,0,0,0,0,0,0,0,NA,NA,0,0,0,3,3,3,0,0,2
FGJ Ford,England,1894,1895,5,9,6,9,0,297,48,FALSE,73.83333333333333,0,204,0,0,1,0,0,0,0,1,3.7941176470588234,1/47,0,0,0,5,5,5,0,0,2
FH Allen,New Zealand,2021,2024,22,47,0,67,0,1141,137,FALSE,24.27659574468085,719,158.69262865090403,2,4,4,99,78,0,0,0,NA,NA,0,0,0,28,28,28,0,0,4
FH Edwards,West Indies,2003,2021,50,143,172,177,32,10895,30,TRUE,23.06919191919192,14,50.987950937950934,0,0,20,1,0,74.5,0,245,5.744975549332012,7/87,0,14,0,19,19,19,0,0,3
FH Sugg,England,1888,1888,2,2,0,4,0,55,31,FALSE,27.5,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
FH Tyson,England,1954,1959,17,24,29,32,3,1641,37,TRUE,14.75908521303258,0,45.421052631578945,0,0,3,0,0,0,0,76,2.452491309385863,7/27,0,4,1,4,4,4,0,0,1
FH Walters,Australia,1885,1885,1,2,0,1,0,12,7,FALSE,6,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,2,2,2,0,0,2
FI de Caires,West Indies,1930,1930,3,6,1,6,0,241,80,FALSE,Inf,0,Inf,0,2,1,0,0,0,0,0,4.5,NA,0,0,0,1,1,1,0,0,1
FJ Burton,Australia,1887,1888,2,4,0,4,2,4,2,TRUE,2,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,2,1,1,0,1,1
FJ Cameron,West Indies,1948,1965,24,37,42,45,21,2394,75,TRUE,39.813978494623655,0,167.8548387096774,0,1,5,0,0,0,0,65,2.2748542602769475,5/34,0,3,0,2,2,2,0,0,1
FJ Cook,South Africa,1896,1896,1,2,0,2,0,7,7,FALSE,3.5,0,NA,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
FJ Durston,England,1921,1921,1,2,2,2,1,144,6,TRUE,17.6,0,40.4,0,0,0,0,0,0,0,5,4.03960396039604,4/102,0,0,0,0,0,0,0,0,0
FJ Klaassen,NED,2018,2024,19,34,57,57,5,2559,13,FALSE,17.172601744186046,53,47.77754086222027,0,0,4,2,0,134,0,75,5.918787153059915,5/19,0,1,0,22,22,22,0,0,4
FJ Laver,Australia,1899,1909,15,23,22,28,6,1160,45,FALSE,18.791732909379967,0,63.810810810810814,0,0,4,0,0,0,0,37,2.4498094027954256,8/31,0,2,0,8,8,8,0,0,1
FJ Mpegna,CAM,2021,2024,12,10,1,12,3,62,8,TRUE,Inf,48,Inf,0,0,2,2,1,2,0,0,18.5,NA,0,0,0,2,2,2,0,0,2
FJ Titmus,England,1955,1975,2,77,91,102,11,6486,84,TRUE,21.63556225909167,0,38.70261437908497,0,10,4,0,0,0,0,156,3.817788161699393,7/79,0,7,0,36,36,36,0,0,3
FL Fane,England,1906,1910,14,27,0,27,1,682,143,FALSE,26.23076923076923,0,NA,1,3,3,0,0,0,0,0,NA,NA,0,0,0,6,6,6,0,0,1
FL Patel,PAN,2023,2023,6,6,4,6,0,124,23,FALSE,24.5,49,51.795918367346935,0,0,1,5,0,8,0,2,10.625,1/12,0,0,0,0,0,0,0,0,0
FL Reifer,West Indies,1997,2009,8,13,0,21,0,133,29,FALSE,15.625,20,110,0,0,3,2,1,0,0,0,NA,NA,0,0,0,10,10,10,0,0,4
FL le Roux,South Africa,1914,1914,1,2,2,2,0,25,1,FALSE,Inf,0,Inf,0,0,1,0,0,0,0,0,2.6666666666666665,NA,0,0,0,0,0,0,0,0,0
FLH Mooney,New Zealand,1949,1954,14,22,1,23,2,343,46,FALSE,17.15,0,Inf,0,0,1,0,0,0,0,0,0,NA,0,0,0,30,22,0,22,8,4
FM Engineer,India,1961,1975,5,87,0,88,3,2611,121,FALSE,31.083333333333332,0,NA,2,16,7,0,0,0,0,0,NA,NA,0,0,0,86,69,0,69,17,4
FM King,West Indies,1953,1956,14,17,23,26,3,1275,21,FALSE,24.125615763546797,0,98.93103448275862,0,0,4,0,0,0,0,29,2.423841059602649,5/74,0,1,0,5,5,5,0,0,2
FM Misson,Australia,1960,1961,5,5,10,10,3,654,25,TRUE,28.75,0,74.8125,0,0,1,0,0,0,0,16,3.087719298245614,4/58,0,0,0,6,6,6,0,0,2
FMM Worrell,West Indies,1948,1963,51,87,82,98,9,6532,261,FALSE,44.105908584169455,0,103.4927536231884,9,22,11,0,0,0,0,69,2.245063716566307,7/70,0,2,0,43,43,43,0,0,3
FN Otieno,Kenya,2010,2010,4,1,1,4,0,4,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,2,NA,0,0,0,2,2,2,0,0,1
FN Walsh,PHI,2023,2023,1,1,1,1,1,59,1,TRUE,Inf,2,31,0,0,0,0,0,4,0,2,14.5,2/58,0,0,0,0,0,0,0,0,0
FR Brown,England,1931,1953,22,30,31,40,1,2132,79,FALSE,28.188505747126435,0,72.44444444444444,0,5,1,0,0,0,0,45,2.573006134969325,5/49,0,1,0,22,22,22,0,0,2
FR Foster,England,1911,1912,11,15,19,20,1,1256,71,FALSE,22.074603174603176,0,54.37777777777778,0,3,1,0,0,0,0,45,2.270535349407438,6/91,0,4,0,11,11,11,0,0,2
FR Martin,West Indies,1928,1931,9,18,11,12,1,1105,123,TRUE,52.981617647058826,0,168.25,1,0,1,0,0,0,0,8,2.7592867756315007,3/91,0,0,0,2,2,2,0,0,1
FR Spofforth,Australia,1877,1887,18,29,30,31,6,1948,50,FALSE,13.924838112858467,0,44.52127659574468,0,1,6,0,0,0,0,94,2.481720430107527,7/44,0,7,4,11,11,11,0,0,3
FRJ Coleman,Scotland,2013,2015,16,1,0,16,0,9,9,FALSE,9,13,69.23076923076923,0,0,0,1,0,0,0,0,NA,NA,0,0,0,8,8,8,0,0,3
FRMD Gunatilleke,Sri Lanka,1979,1979,1,1,1,1,0,68,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,3.7777777777777777,NA,0,0,0,0,0,0,0,0,0
FS Ahangama,Sri Lanka,1985,1985,1,4,7,7,1,405,11,FALSE,Inf,0,Inf,0,0,1,0,0,0,0,18,5.1367041198501875,5/52,0,1,0,1,1,1,0,0,1
FS Crockwell,BER,2009,2009,2,0,0,2,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
FS Trueman,England,1952,1965,67,85,127,128,14,7606,39,TRUE,17.698352984355644,0,49.43973941368078,0,0,11,0,0,0,0,307,2.618922124127026,8/31,0,17,3,64,64,64,0,0,3
FT Badcock,New Zealand,1930,1933,7,9,9,10,2,747,64,FALSE,28.848214285714285,0,100.5,0,2,3,0,0,0,0,16,2.276119402985074,4/80,0,0,0,1,1,1,0,0,1
FT Mann,England,1922,1923,5,9,0,9,1,281,84,FALSE,35.125,0,NA,0,2,0,0,0,0,0,0,NA,NA,0,0,0,4,4,4,0,0,1
FW Milligan,England,1899,1899,2,4,2,4,0,87,38,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,3.8666666666666663,NA,0,0,0,1,1,1,0,0,1
FW Smith,South Africa,1889,1896,3,6,0,4,1,45,12,FALSE,9,0,NA,0,0,1,0,0,0,0,0,NA,NA,0,0,0,2,2,0,2,0,2
FW Tate,England,1902,1902,1,2,2,2,1,60,5,TRUE,17.25,0,48,0,0,0,0,0,0,0,2,3.1875,2/7,0,0,0,2,2,2,0,0,1
FY Fazal,India,2016,2016,1,0,0,1,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Fahad Alhashmi,United Arab Emirates,2008,2015,5,5,5,5,0,404,NA,FALSE,33.666666666666664,0,37.333333333333336,0,0,0,0,0,0,0,6,5.410714285714286,2/39,0,0,0,0,0,0,0,0,0
Fahad Ali,BRA,2019,2019,3,3,0,3,0,3,2,FALSE,1,14,21.428571428571427,0,0,1,0,0,0,0,0,NA,NA,0,0,0,5,4,2,2,1,3
Fahad Nawaz,United Arab Emirates,2019,2022,2,0,0,3,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Fahad Tariq,United Arab Emirates,2016,2016,6,5,2,6,1,45,16,FALSE,Inf,24,Inf,0,0,2,1,1,3,0,0,8.666666666666666,NA,0,0,0,4,4,4,0,0,3
Fahad Usman,United Arab Emirates,2004,2004,2,0,0,2,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1
Faheem Ashraf,Pakistan,2017,2023,34,93,110,113,9,5378,91,FALSE,34.49059829059829,241,77.69773100369228,0,4,8,19,18,128.1,1,87,5.317552633093346,5/22,0,1,0,27,27,27,0,0,5
Faheem Nazir,SUI,2022,2024,18,18,17,18,3,1156,113,FALSE,35.266666666666666,537,82.31737164139399,2,6,1,89,27,46.2,0,21,7.402877697841726,3/14,0,0,0,4,4,4,0,0,2
Faheem Nellancheri,FIN,2023,2024,13,12,0,13,1,175,44,FALSE,15.909090909090908,124,141.1290322580645,0,0,0,14,9,0,0,0,NA,NA,0,0,0,2,2,2,0,0,1
Fahim Bhatti,Belg,2022,2024,14,4,14,14,2,313,13,TRUE,34.6,30,61.266666666666666,0,0,0,1,1,41,2,5,7.097560975609756,1/5,0,0,0,3,3,3,0,0,1
Fahim Muntasir,BAN,2001,2002,3,9,7,7,0,616,33,FALSE,Inf,0,Inf,0,0,1,0,0,0,0,5,3.751664201183432,3/131,0,0,0,3,3,3,0,0,2
Faisal Athar,Pakistan,2003,2003,1,0,0,1,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Faisal Hossain,BAN,2004,2010,6,4,2,8,0,113,5,FALSE,36.5,0,73,0,0,0,0,0,0,0,1,4.356164383561644,1/27,0,0,0,3,3,3,0,0,1
Faisal Iqbal,Pakistan,2000,2010,18,46,3,64,2,1197,139,FALSE,Inf,0,Inf,1,8,4,0,0,0,0,0,9,NA,0,0,0,25,25,25,0,0,4
Faisal Javed,QAT,2019,2019,15,15,0,15,0,330,61,FALSE,22,212,155.66037735849056,0,2,1,45,11,0,0,0,NA,NA,0,0,0,5,5,5,0,0,1
Faisal Khan,KSA,2019,2024,41,41,12,41,5,1277,83,TRUE,39.291666666666664,649,99.43605546995377,0,6,4,126,55,21.2,0,4,9.09375,2/14,0,0,0,11,11,11,0,0,2
Faisal Mehmood,Belg,2021,2023,5,5,2,5,0,59,23,FALSE,Inf,47,Inf,0,0,1,6,2,1.1,0,0,6,NA,0,0,0,2,2,2,0,0,1
Faisal Mubashir,GER,2021,2024,23,20,0,23,7,428,57,TRUE,32.92307692307692,421,101.66270783847982,0,1,2,33,6,0,0,0,NA,NA,0,0,0,7,7,7,0,0,2
Faizalmahmed Patel,SWZ,2023,2023,2,1,2,2,1,87,7,TRUE,Inf,4,111.5,0,0,0,1,0,8,0,1,10,1/40,0,0,0,0,0,0,0,0,0
Faizan Asif,United Arab Emirates,2014,2015,6,6,0,6,0,80,28,FALSE,13.333333333333334,64,125,0,0,0,9,3,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Faizan Mumtaz,NOR,2021,2021,3,3,0,3,0,6,4,FALSE,2,15,40,0,0,1,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Fakhar Zaman,Pakistan,2017,2024,82,97,8,179,3,2274,94,FALSE,Inf,1390,Inf,0,13,6,172,76,1,0,1,8.466666666666667,1/19,0,0,0,95,95,95,0,0,6
Fakhrul Mohon,PORT,2019,2022,8,4,8,8,2,185,12,TRUE,32.5,15,89.66666666666666,0,0,2,0,2,23,3,3,7.173913043478261,1/15,0,0,0,1,1,1,0,0,1
Fanyan Mughal,MLT,2023,2024,24,23,24,24,2,860,56,FALSE,19.8474025974026,257,64.71197382384152,0,1,2,23,14,76.3,1,22,7.594771241830065,3/15,0,0,0,6,6,6,0,0,1
Faran Afzal,ESP,2019,2019,9,8,8,9,1,284,59,TRUE,19.00892857142857,140,61.23214285714286,0,1,0,11,6,29,0,8,4.931034482758621,3/11,0,0,0,2,2,2,0,0,1
Fareed Ahmad,Afghanistan,2014,2024,18,22,46,46,4,2128,24,TRUE,27.806623931623932,33,49.893745143745136,0,0,0,5,0,90.3,0,63,6.950502671859433,3/56,0,0,0,8,8,8,0,0,2
Fareed Shius,MDV,2023,2023,2,1,0,2,0,10,10,FALSE,10,21,47.61904761904761,0,0,0,2,0,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1
Farhad Reza,BAN,2006,2014,34,41,43,47,0,2367,19,FALSE,33.03030303030303,88,57.49242424242425,0,0,1,4,2,26,0,28,7.697896265279935,5/42,0,1,0,17,17,17,0,0,3
Farhan Adil,Pakistan,2003,2003,1,2,0,2,0,33,25,FALSE,16.5,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Farhan Ahmed,United Arab Emirates,2016,2016,3,1,3,3,0,70,4,FALSE,13,8,34,0,0,0,0,0,9,0,3,7.333333333333333,2/28,0,0,0,1,1,1,0,0,1
Farooq Hamid,Pakistan,1964,1964,1,2,2,2,0,110,3,FALSE,54.25,0,184,0,0,1,0,0,0,0,1,3.4891304347826084,1/82,0,0,0,0,0,0,0,0,0
Farrukh Zaman,Pakistan,1976,1976,1,0,2,2,0,15,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,1.125,NA,0,0,0,0,0,0,0,0,0
Faruk Ahmed,BAN,1988,1999,7,0,0,7,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,2,2,2,0,0,1
Fawad Ahmed,Australia,2013,2013,3,4,5,5,1,361,3,TRUE,Inf,5,46.666666666666664,0,0,0,0,0,8,0,6,7.270833333333334,3/25,0,0,0,0,0,0,0,0,0
Fawad Alam,Pakistan,2007,2022,38,60,22,96,10,2108,168,FALSE,47.25071872571873,169,80.22541091387245,5,2,4,7,7,15,0,15,5.130583472920156,3/7,0,0,0,30,30,30,0,0,6
Fayaz Khan,GER,2021,2024,13,9,11,13,3,404,64,FALSE,20.46666666666667,77,97.9090909090909,0,1,2,9,12,35,0,15,7.542857142857143,5/19,0,1,0,7,7,7,0,0,3
Fayaz Mohammad,BUL,2020,2022,5,4,1,4,1,44,12,FALSE,Inf,19,Inf,0,0,0,4,0,1.2,0,0,13.5,NA,0,0,0,0,0,0,0,0,0
Fayyaz Ahmed,United Arab Emirates,2014,2016,3,4,4,4,0,282,11,FALSE,Inf,12,Inf,0,0,0,2,0,3,0,1,7.074074074074074,1/29,0,0,0,1,1,1,0,0,1
Fayyaz Butt,OMA,2019,2024,30,51,77,77,10,3800,25,TRUE,26.083447924624394,145,55.6772368717602,0,0,2,11,4,150.4,1,86,6.700827153065571,4/79,1,0,0,17,17,17,0,0,3
Fazal Mahmood,Pakistan,1952,1962,34,50,53,56,6,4054,60,FALSE,19.397972531066056,0,70.74820143884892,0,1,10,0,0,0,0,139,2.0951799877974375,7/42,0,13,4,11,11,11,0,0,1
Fazal Niazai,Afghanistan,2019,2019,1,1,1,1,0,25,12,FALSE,Inf,15,Inf,0,0,0,1,0,1,0,0,13,NA,0,0,0,0,0,0,0,0,0
Fazalhaq Farooqi,Afghanistan,2021,2024,37,49,79,79,9,4123,4,TRUE,20.61226851851852,19,40.46775503573749,0,0,2,1,0,150.4,4,102,6.25434992348127,5/9,6,1,0,8,8,8,0,0,2
Fazil Muhammad,SKOR,2024,2024,5,4,5,5,1,129,15,FALSE,14.833333333333332,43,42.02093023255814,0,0,0,1,0,13.5,0,5,7.228915662650602,4/27,1,0,0,1,1,1,0,0,1
Fazil Rahman,MLT,2023,2023,6,5,6,6,2,165,6,TRUE,7.243589743589743,16,26.91346153846154,0,0,3,1,0,21.5,1,13,7.236641221374046,4/15,2,0,0,1,1,1,0,0,1
Fazl-e-Akbar,Pakistan,1998,2004,2,10,10,10,4,659,25,FALSE,Inf,0,Inf,0,0,2,0,0,0,0,11,3.738095238095238,3/85,0,0,0,2,2,2,0,0,1
Fazle Mahmud,BAN,2018,2018,2,1,1,2,0,32,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,5.333333333333333,NA,0,0,0,1,1,1,0,0,1
Festus Benn,Bhm,2022,2023,9,9,8,9,3,261,14,TRUE,24.833333333333332,109,46.862385321100916,0,0,1,3,1,20,0,5,9.25,2/18,0,0,0,4,4,4,0,0,2
Fiaz Ahmad,KUW,2019,2019,3,1,3,3,1,56,0,TRUE,56,0,30,0,0,0,0,0,5,0,1,11.2,1/13,0,0,0,0,0,0,0,0,0
Fiaz Ahmed,BHR,2019,2024,15,15,0,15,4,235,62,TRUE,21.363636363636363,214,109.81308411214954,0,1,3,9,14,0,0,0,NA,NA,0,0,0,10,10,10,0,0,2
Fida Hussain,ITA,2019,2019,2,1,0,2,1,3,3,TRUE,Inf,4,75,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
Firas Hussain,BUL,2024,2024,7,7,4,7,1,161,40,TRUE,23.583333333333336,89,65.17977528089888,0,0,2,13,1,6,0,2,10.166666666666666,1/15,0,0,0,3,3,3,0,0,1
Fitri Sham,MAS,2019,2024,45,23,42,43,7,1140,40,TRUE,15.291666666666666,166,58.54342369477911,0,0,2,4,12,146.2,2,48,6.669703872437358,3/22,0,0,0,8,8,8,0,0,1
Frasat Ali,East (and Central) Africa,1975,1975,3,3,3,3,0,214,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,4.458333333333333,NA,0,0,0,0,0,0,0,0,0
G Aburto,Chile,2023,2023,2,2,2,2,0,32,4,FALSE,15,10,32,0,0,1,1,0,4,0,1,7,1/17,0,0,0,0,0,0,0,0,0
G Alexander,Australia,1880,1884,2,4,2,4,0,145,33,FALSE,29.75,0,84,0,0,0,0,0,0,0,2,3.3214285714285716,2/69,0,0,0,2,2,2,0,0,1
G Angeletti,Arg,2023,2024,3,3,2,3,1,59,18,TRUE,14.75,35,55.71428571428572,0,0,0,3,1,6.4,0,2,4.05,1/9,0,0,0,0,0,0,0,0,0
G Axtell,BHR,2022,2022,2,1,2,2,1,42,0,TRUE,42,2,21,0,0,0,0,0,7,0,1,6,1/17,0,0,0,3,3,3,0,0,2
G Bajwa,Canada,2024,2024,1,1,1,1,0,70,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,5.675675675675675,NA,0,0,0,0,0,0,0,0,0
G Bakiweyem,GHA,2019,2024,41,26,40,41,11,906,41,TRUE,15.857142857142858,192,49.729464285714286,0,0,3,3,1,115.2,4,35,6.528901734104046,3/16,0,0,0,15,15,15,0,0,3
G Bean,England,1892,1892,3,5,0,6,0,92,50,FALSE,18.4,0,NA,0,1,0,0,0,0,0,0,NA,NA,0,0,0,4,4,4,0,0,2
G Blakeney,BER,2009,2009,2,0,0,2,0,0,NA,FALSE,NA,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
G Boycott,England,1964,1982,36,199,26,228,23,8706,246,TRUE,35.50504201680672,0,58.91428571428571,22,42,10,0,0,0,0,12,3.0889830508474576,3/47,0,0,0,38,38,38,0,0,5
G Brown,England,1921,1923,7,12,0,12,2,299,84,FALSE,29.9,0,NA,0,2,2,0,0,0,0,0,NA,NA,0,0,0,12,9,0,9,3,3
G Burrows,IOM,2020,2024,21,20,2,20,5,507,69,TRUE,21.883333333333333,432,60.51851851851852,0,4,2,39,10,3,0,2,7.666666666666667,1/9,0,0,0,9,9,9,0,0,2
G Caisley,BRA,2019,2024,5,5,0,5,0,55,38,FALSE,11,70,78.57142857142857,0,0,1,3,2,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
G Challenor,West Indies,1928,1928,3,6,0,3,0,101,46,FALSE,16.833333333333332,0,NA,0,0,2,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
G Chapple,England,2006,2006,1,1,1,1,0,28,NA,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,3.5,NA,0,0,0,0,0,0,0,0,0
G Chaturvedi,MLT,2019,2022,19,18,0,19,1,215,33,FALSE,12.647058823529411,202,106.43564356435644,0,0,2,28,3,0,0,0,NA,NA,0,0,0,8,8,8,0,0,3
G Chohan,PHI,2022,2024,14,11,8,14,3,321,22,FALSE,42.666666666666664,112,64.76190476190476,0,0,1,9,2,18.2,0,3,11.836363636363638,2/33,0,0,0,1,1,1,0,0,1
G Coetzee,South Africa,2023,2024,14,28,30,30,3,2195,23,FALSE,21.08448540706605,60,60.52246117084827,0,0,2,4,6,34.2,1,53,7.025231821030006,4/44,2,0,0,6,6,6,0,0,3
G Cook,England,1981,1983,6,13,3,19,0,230,66,FALSE,Inf,0,Inf,0,2,1,0,0,0,0,0,3.857142857142857,NA,0,0,0,11,11,11,0,0,3
G Coulthard,Australia,1882,1882,1,1,0,2,1,6,6,TRUE,Inf,0,NA,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0
G Cripps,South Africa,1892,1892,1,2,1,1,0,44,18,FALSE,Inf,0,Inf,0,0,0,0,0,0,0,0,9.2,NA,0,0,0,0,0,0,0,0,0
G Duckworth,England,1924,1936,24,28,0,43,12,234,39,TRUE,14.625,0,NA,0,0,2,0,0,0,0,0,NA,NA,0,0,0,60,45,0,45,15,4
G Dutta,Mex,2019,2019,7,6,0,7,0,14,8,FALSE,2.3333333333333335,28,50,0,0,3,1,0,0,0,0,NA,NA,0,0,0,1,1,1,0,0,1
G Dymock,Australia,1974,1980,15,46,49,49,7,3176,31,TRUE,21.40136752136752,0,58.072435897435895,0,0,7,0,0,0,0,93,2.678313908087898,7/67,0,5,1,2,2,2,0,0,2
G Fatouros,GRC,2022,2022,4,4,4,4,0,159,50,FALSE,23,72,68.33333333333334,0,1,0,7,4,10,0,3,7.5,2/40,0,0,0,2,2,2,0,0,1
