Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
F Damiao Couana ,MOZ,2019,2024,38,37,5,1005,104,FALSE,31.40625,800,125.62500000000001,1,5,3,100,38
Iftikhar Ahmed ,Pakistan,2016,2024,66,55,14,998,62,TRUE,24.341463414634145,773,129.10737386804658,0,4,2,66,44
AP Rajeevan ,TAN,2022,2024,50,45,8,998,70,FALSE,26.972972972972972,875,114.05714285714285,0,6,1,95,17
Razmal Shigiwal ,Aut,2019,2023,39,35,5,990,95,TRUE,33,725,136.55172413793105,0,6,2,81,39
Kamran Akmal ,Pakistan,2006,2017,58,53,6,987,73,FALSE,21,825,119.63636363636363,0,5,7,100,31
ADS Fletcher ,West Indies,2008,2024,58,55,7,984,84,TRUE,20.5,884,111.31221719457014,0,6,7,67,53
CL White ,Australia,2007,2014,47,44,14,984,85,TRUE,32.8,740,132.97297297297297,0,5,3,71,44
GC Smith ,South Africa,2005,2011,33,33,2,982,89,TRUE,31.677419354838708,770,127.53246753246754,0,5,1,123,26
H Klaasen ,South Africa,2018,2024,56,51,9,980,81,FALSE,23.333333333333332,687,142.64919941775838,0,5,2,71,51
NS Dhaliwal ,Canada,2019,2024,37,36,5,977,69,TRUE,31.516129032258064,773,126.39068564036222,0,7,2,77,43
Sabbir Rahman ,BAN,2014,2022,48,47,5,977,80,FALSE,23.261904761904763,819,119.2918192918193,0,4,3,92,29
Shaiman Anwar ,United Arab Emirates,2014,2019,32,32,3,971,117,TRUE,33.48275862068966,770,126.10389610389609,1,6,1,75,43
D Ndikubwimana ,RWN,2021,2024,73,67,6,967,69,FALSE,15.852459016393443,1243,77.79565567176186,0,4,3,86,15
Aizaz Khan ,Hong Kong,2014,2024,85,73,15,960,48,TRUE,16.551724137931036,867,110.72664359861592,0,0,6,67,27
Najmul Hossain Shanto ,BAN,2019,2024,49,47,5,960,71,FALSE,22.857142857142858,886,108.35214446952597,0,4,0,87,19
