Player,Country,Start,End,Matches,Innings,NotOuts,Runs,HighScore,HighScoreNotOut,Average,BallsFaced,StrikeRate,Hundreds,Fifties,Ducks,Fours,Sixes
A Flintoff (ENG/ICC),NA,1999,2009,141,119,0,4121,NA,FALSE,24.384615384615383,0,33.27810650887574,0,0,0,0,0
A Flower,Zimbabwe,1992,2003,213,2,0,23,NA,FALSE,Inf,0,Inf,0,0,0,0,0
A Flower ,Zimbabwe,1992,2002,63,112,19,4794,232,TRUE,51.54838709677419,0,NA,12,27,5,0,0
A Gandotra ,India,1969,1969,2,4,0,54,18,FALSE,13.5,0,NA,0,0,0,0,0
A Gasteratos ,GRC,2022,2024,6,5,1,17,8,TRUE,4.25,39,43.58974358974359,0,0,1,0,0
A Gavde ,CAY,2019,2019,1,1,0,1,1,FALSE,1,6,16.666666666666664,0,0,0,0,0
A Gbla ,Sri LankaE,2021,2024,28,22,3,180,29,TRUE,9.473684210526315,205,87.8048780487805,0,0,3,13,6
A Gorawara ,Hong Kong,2023,2024,4,4,0,38,20,FALSE,9.5,37,102.7027027027027,0,0,0,2,2
A Govorko ,CRT,2024,2024,4,1,1,1,1,TRUE,Inf,1,100,0,0,0,0,0
A Greenwood ,England,1877,1877,2,4,0,77,49,FALSE,19.25,0,NA,0,0,0,0,0
A Habib ,England,1999,1999,2,3,0,26,19,FALSE,8.666666666666666,0,NA,0,0,0,0,0
A Halbhavi ,LUX,2021,2023,16,16,0,223,48,FALSE,13.9375,207,107.72946859903381,0,0,5,29,3
A Harikumar ,BUL,2021,2021,1,1,0,22,22,FALSE,22,13,169.23076923076923,0,0,0,3,0
A Harris ,Bhm,2021,2022,6,3,1,11,6,TRUE,5.5,14,78.57142857142857,0,0,0,0,1
A Hearne ,England,1892,1892,1,1,0,9,9,FALSE,9,0,NA,0,0,0,0,0
A Hill ,England,1877,1877,2,4,2,101,49,FALSE,50.5,0,NA,0,0,1,0,0
A Hurwood ,Australia,1930,1931,2,2,0,5,5,FALSE,2.5,0,NA,0,0,1,0,0
A Husain ,Arg,2019,2024,16,5,4,13,6,FALSE,13,14,92.85714285714286,0,0,0,2,0
A Ilaoa ,Samoa,2023,2024,7,5,2,15,12,FALSE,5,15,100,0,0,1,1,0
A Jackson ,Australia,1929,1931,8,11,1,474,164,FALSE,47.4,0,NA,1,2,1,0,0
A Jadeja,India,1992,2000,196,52,0,1094,NA,FALSE,54.7,0,62.4,0,0,0,0,0
A Jadeja ,India,1992,2000,15,24,2,576,96,FALSE,26.181818181818183,0,NA,0,4,1,0,0
A Johnmary ,Fran,2021,2021,2,2,0,8,8,FALSE,4,14,57.14285714285714,0,0,1,0,0
A Johnson,Canada,2023,2024,20,1,0,14,NA,FALSE,Inf,0,Inf,0,0,0,0,0
A Johnson ,Canada,2022,2024,25,25,2,862,121,TRUE,37.47826086956522,568,151.7605633802817,2,6,3,82,56
A Kadowaki Fleming ,Japan,2024,2024,3,3,1,127,65,TRUE,63.5,79,160.75949367088606,0,1,0,10,2
A Kainessie ,Sri LankaE,2023,2024,9,8,0,94,37,FALSE,11.75,106,88.67924528301887,0,0,0,10,0
